DATE_DEBUT;DATE_FIN;INTITULE_MANIFESTATION;ORGANISATEUR;DISCIPLINE;VILLE_DE_LA_MANIFESTATION;OBJET_DEMANDE;SUBVENTION
17/11/2012;;6ème open carnassiers;AAPPMA;Pêche;Joué sur Erdre;Promotion ;
08/12/2012;;2eme carnassiers du bord;AAPPMA;Pêche;Joué sur Erdre;Promotion ;
01/01/12;31/12/12;Championnats départementaux d'Equitation;Comité départemental d'Equitation;Equitation;Loire-Atlantique;Subvention ;1 300 €
01/01/12;31/12/12;Concours CSO Dressage;Comité départemental d'Equitation;Equitation;Loire-Atlantique;Subvention ;1 000 €
01/01/12;31/12/12;Challenges départementaux;Comité départemental d'Equitation;Equitation;Loire-Atlantique;Subvention ;1 300 €
10/03/2012;11/03/2012;Course Cycliste Handisport ;Action Cancer;Handisport;La Baule;Subvention ;1 000 €
27/04/2012;01/05/2012;4ème fête bouliste;La Baule sport boules lyonnaise;Boules;La Baule;Promotion ;
09/05/2012;;Atlant'lycées;UNSS 44 et PDL;Volley;La Baule;Promotion ;
10/05/2012;;Jumping International de France 2012;Concours Hippique de la Baule;Equitation;La Baule;Subvention ;30 000 €
12/05/2012;;Concours Hippique Handisport;Concours Hippique de la Baule;Handisport;La Baule;Subvention ;3 000 €
17/05/2012;18/05/2012;Festival international de hockey sur gazon;La Baule Olympic Hockey Club;Hockey sur gazon;La Baule;Promotion ;
18/05/2012;20/05/2012;Le défi de la Baule;OMEO;Voile;La Baule;Subvention ;2 000 €
31/05/2012;;Finales coupe d hiver tennis;Comité 44 tennis;Tennis;La Baule;Promotion ;
10/06/2012;;Oxygène Séniors la Baule TC;La Baule Tennis Club;Tennis;La Baule;Subvention ;1 000 €
13/06/2012;;Les Rois du Sand;Comité Départemental de Handball;Handball;La Baule;Subvention ;1 500 €
25/06/2012;;Tournoi de Tennis OUATT;La Baule Tennis Club;Tennis;La Baule;Subvention ;2 500 €
01/07/2012;07/07/2012;Mondial Catamaran SL16;CNBPP;Voile;La Baule;Subvention ;5 000 €
01/08/2012;05/08/2012;6ème National de Pétanque ;Pétanque Club Baulois;Pétanque;La Baule;Subvention ;750 €
03/08/2012;05/08/2012;Masters de Pétanque ;Pétanque Club Baulois;Pétanque;La Baule;Subvention ;1 000 €
22/09/2012;23/09/2012;Triathlon Audencia;Audencia Compétition;Triathlon;La Baule;Subvention ;20 000 €
01/01/12;31/12/12;Action de développement de la pratique féminine - Triathlon Audencia;Audencia Compétition;Triathlon;La Baule;Subvention ;
16/05/2012;20/05/2012;Finales Nationales Inter Ligues;C.D. Basket-Ball;Basket-Ball;La Baule, Guérande, Pornichet;Subvention ;3 000 €
08/09/2012;;Tournoi U10 et U13;Club de foot de la Chapelle Heulin;football;La Chapelle Heulin;Promotion ;
02/09/2012;;Course nature erdre et gesvre;A C Chapelain atthlétisme;Athlétisme;La Chapelle sur Erdre;Promotion ;
09/12/2012;;Cross National de l'Erdre Presse-Océan;Athlétic Club Chapelain;Athlétisme;La Chapelle sur Erdre;Subvention ;3 000 €
25/05/2012;;Meeting de la ville de la Chapelle sur Erdre;Club d'athlétisme Chapelain;Athlétisme;La Chapelle sur Erdre;Subvention ;1 500 €
